   BENCHMARK INFORMATION
benchmark definition:    /input/student-svcomp-extract-features.xml
name:                    student-svcomp-extract-features
run sets:                sv-comp19_prop-reachsafety, sv-comp19_prop-memsafety, sv-comp19_prop-nooverflow, sv-comp19_prop-termination
date:                    Thu, 2019-07-18 13:39:07 UTC
tool:                    ULTIMATE Automizer 0.1.24-3a3fd35b
tool executable:         ./Ultimate.py
options:                 --full-output
resource limits:
- memory:                8000.0 MB
- time:                  900 s
- cpu cores:             2
hardware requirements:
- cpu cores:             2
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    82a6a2e96af6
os:                      Linux-4.15.0-54-generic-x86_64-with-debian-9.9
cpu:                     Intel Core i7-3770 CPU @ 3.40GHz
- cores:                 8
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     33637.937152000006 MB
------------------------------------------------------------



sv-comp19_prop-reachsafety
Run set 1 of 4 with options '--full-output' and propertyfile 'None'

inputfile                                                                                                                                                                          status                    cpu time   wall time        host
array-tiling/pr5.yml                                                                                                                                                               ERROR (7)                    18.96       11.69        None
array-tiling/revcpyswp2.yml                                                                                                                                                        ERROR (7)                    17.33       10.32        None
array-tiling/rew.yml                                                                                                                                                               ERROR (7)                    17.04       10.53        None
array-tiling/rewnif.yml                                                                                                                                                            ERROR (7)                    16.04       10.07        None
array-tiling/rewnifrev.yml                                                                                                                                                         ERROR (7)                    17.28       10.83        None
array-tiling/rewnifrev2.yml                                                                                                                                                        ERROR (7)                    18.78       11.51        None
array-tiling/rewrev.yml                                                                                                                                                            ERROR (7)                    17.53       10.78        None
array-tiling/skipped.yml                                                                                                                                                           ERROR (7)                    16.24       10.23        None
array-tiling/skippedu.yml                                                                                                                                                          ERROR (7)                    16.36       10.18        None
array-tiling/tcpy.yml                                                                                                                                                              ERROR (7)                    16.31       10.03        None
array-programs/copysome1-1.yml                                                                                                                                                     ERROR (7)                    15.39        9.62        None
array-programs/copysome1-2.yml                                                                                                                                                     ERROR (7)                    14.83        9.37        None
array-programs/copysome2-1.yml                                                                                                                                                     ERROR (7)                    15.60        9.75        None
array-programs/copysome2-2.yml                                                                                                                                                     ERROR (7)                    15.16        9.77        None
array-crafted/bAnd1.yml                                                                                                                                                            ERROR (7)                    16.08       10.10        None
array-crafted/bAnd2.yml                                                                                                                                                            ERROR (7)                    16.30       10.14        None
array-crafted/bAnd3.yml                                                                                                                                                            ERROR (7)                    16.02       10.00        None
array-crafted/bAnd4.yml                                                                                                                                                            ERROR (7)                    16.04        9.94        None
array-crafted/bAnd5.yml                                                                                                                                                            ERROR (7)                    16.74       10.43        None
array-crafted/bor1.yml                                                                                                                                                             ERROR (7)                    16.08        9.97        None
array-crafted/bor2.yml                                                                                                                                                             ERROR (7)                    15.80        9.86        None
array-crafted/bor3.yml                                                                                                                                                             ERROR (7)                    16.25       10.14        None
array-crafted/bor4.yml                                                                                                                                                             ERROR (7)                    17.13       10.59        None
array-crafted/bor5.yml                                                                                                                                                             ERROR (7)                    16.88       10.40        None
array-crafted/mapavg1.yml                                                                                                                                                          ERROR (7)                    16.72       10.42        None
array-crafted/mapavg2.yml                                                                                                                                                          ERROR (7)                    16.38       10.31        None
array-crafted/mapavg3.yml                                                                                                                                                          ERROR (7)                    16.60       10.51        None
array-crafted/mapavg4.yml                                                                                                                                                          ERROR (7)                    16.53       10.30        None
array-crafted/mapavg5.yml                                                                                                                                                          ERROR (7)                    15.24        9.36        None
array-crafted/mapsum1.yml                                                                                                                                                          ERROR (7)                    16.20       10.08        None
array-crafted/mapsum2.yml                                                                                                                                                          ERROR (7)                    16.15       10.06        None
array-crafted/mapsum3.yml                                                                                                                                                          ERROR (7)                    16.05       10.17        None
array-crafted/mapsum4.yml                                                                                                                                                          ERROR (7)                    16.44       10.17        None
array-crafted/mapsum5.yml                                                                                                                                                          ERROR (7)                    17.14       10.55        None
