   BENCHMARK INFORMATION
benchmark definition:    /input/student-heuristics-extract-features.xml
name:                    student-heuristics-extract-features
run sets:                AutomizerBplInline with feature extraction.Pdr
date:                    Thu, 2019-07-18 10:50:22 UTC
tool:                    ULTIMATE Automizer 0.1.24-3a3fd35b
tool executable:         ./Ultimate.py
options:                 
resource limits:
- memory:                8000.0 MB
- time:                  300 s
- cpu cores:             2
hardware requirements:
- cpu cores:             2
- memory:                8000.0 MB
------------------------------------------------------------

   SYSTEM INFORMATION
host:                    06b07f0a6637
os:                      Linux-4.15.0-54-generic-x86_64-with-debian-9.9
cpu:                     Intel Core i7-3770 CPU @ 3.40GHz
- cores:                 8
- max frequency:         3900.0 MHz
- turbo boost enabled:   True
ram:                     33637.937152000006 MB
------------------------------------------------------------



AutomizerBplInline with feature extraction.Pdr
Run set 1 of 1 with options '-tc /ultimate/trunk/examples/toolchains/AutomizerBplInline.xml --traceabstraction.use.heuristic.emptiness.check false --traceabstraction.extract.smt.features.during.analysis true --traceabstraction.smt.feature.extraction.dump.path /output/smt/ --traceabstraction.trace.refinement.strategy CAMEL_NO_AM' and propertyfile 'None'

inputfile                                                                                                              status                    cpu time   wall time        host
20170304-DifficultPathPrograms/functions1.i_3.bpl                                                                      ERROR: EXCEPTION              6.04        3.77        None
20170304-DifficultPathPrograms/gauss_sum.i_3.bpl                                                                       ERROR: EXCEPTION              5.12        3.17        None
20170304-DifficultPathPrograms/gcd_2.i_4.bpl                                                                           ERROR: EXCEPTION              5.60        3.47        None
20170304-DifficultPathPrograms/gj2007.c.i_4.bpl                                                                        ERROR: EXCEPTION              5.99        3.69        None
20170304-DifficultPathPrograms/gr2006.c.i_4.bpl                                                                        ERROR: EXCEPTION              5.81        3.58        None
20170304-DifficultPathPrograms/half.i_3.bpl                                                                            ERROR: EXCEPTION              6.74        4.02        None
20170304-DifficultPathPrograms/half_2.i_3.bpl                                                                          ERROR: EXCEPTION              6.08        3.67        None
20170304-DifficultPathPrograms/hhk2008.c.i_3.bpl                                                                       ERROR: EXCEPTION              6.57        3.96        None
20170304-DifficultPathPrograms/insertion_sort.i_3.bpl                                                                  ERROR: EXCEPTION              6.03        3.70        None
20170304-DifficultPathPrograms/interleave_bits.i_3.bpl                                                                 ERROR: EXCEPTION              6.16        3.77        None
20170304-DifficultPathPrograms/invert_string.i_4.bpl                                                                   ERROR: EXCEPTION              6.67        4.02        None
20170304-DifficultPathPrograms/jain_1.i_2.bpl                                                                          ERROR: EXCEPTION              5.63        3.49        None
20170304-DifficultPathPrograms/jain_2.i_2.bpl                                                                          ERROR: EXCEPTION              6.16        3.71        None
20170304-DifficultPathPrograms/jain_4.i_2.bpl                                                                          ERROR: EXCEPTION              6.32        3.82        None
20170304-DifficultPathPrograms/jain_5.i_2.bpl                                                                          ERROR: EXCEPTION              5.97        3.69        None
20170304-DifficultPathPrograms/jain_6.i_2.bpl                                                                          ERROR: EXCEPTION              6.31        3.79        None
20170304-DifficultPathPrograms/jain_7.i_2.bpl                                                                          ERROR: EXCEPTION             19.16       16.34        None
20170304-DifficultPathPrograms/jm2006.c.i_3.bpl                                                                        ERROR: EXCEPTION              7.23        4.30        None
20170304-DifficultPathPrograms/jm2006_variant.c.i_3.bpl                                                                ERROR: EXCEPTION              7.58        4.46        None
20170304-DifficultPathPrograms/large_const.i_3.bpl                                                                     ERROR: EXCEPTION              6.20        3.70        None
20170304-DifficultPathPrograms/linear_sea.ch.i_4.bpl                                                                   ERROR: EXCEPTION              9.31        5.40        None
20170304-DifficultPathPrograms/linear_search.i_5.bpl                                                                   ERROR: EXCEPTION              8.48        4.89        None
20170304-DifficultPathPrograms/matrix.i_4.bpl                                                                          ERROR: EXCEPTION              8.95        5.15        None
20170304-DifficultPathPrograms/mcmillan2006.c.i_3.bpl                                                                  ERROR: EXCEPTION              6.30        3.82        None
20170304-DifficultPathPrograms/n.c11.i_3.bpl                                                                           ERROR: EXCEPTION              5.63        3.52        None
20170304-DifficultPathPrograms/nested.c_4.bpl                                                                          ERROR: EXCEPTION              5.67        3.48        None
20170304-DifficultPathPrograms/nested.i_4.bpl                                                                          ERROR: EXCEPTION              6.38        3.85        None
20170304-DifficultPathPrograms/nested1.i_4.bpl                                                                         ERROR: EXCEPTION              6.30        3.80        None
20170304-DifficultPathPrograms/nested9.i_3.bpl                                                                         ERROR: EXCEPTION              7.62        4.57        None
20170304-DifficultPathPrograms/num_conversion_1.i_3.bpl                                                                ERROR: EXCEPTION              6.27        3.77        None
20170304-DifficultPathPrograms/num_conversion_2.i_3.bpl                                                                ERROR: EXCEPTION              6.58        3.90        None
20170304-DifficultPathPrograms/overflow1.i_3.bpl                                                                       ERROR: EXCEPTION              6.44        3.85        None
20170304-DifficultPathPrograms/pals_lcr-var-start-time.3.1.ufo.BOUNDED-6.pals.c_9.bpl                                  ERROR: EXCEPTION              9.10        5.26        None
